Cement,Sand,Water,Hours,Bacteria,Fiber,Area
600,1200,270,240,0,0,0.3028571
600,1200,270,252,0,0,0.3066666
600,1200,270,264,0,0,0.3104762
600,1200,270,276,0,0,0.3142857
600,1200,270,288,0,0,0.3180952
600,1200,270,300,0,0,0.3219047
600,1200,270,312,0,0,0.3257142
600,1200,270,324,0,0,0.3295237
600,1200,270,336,0,0,0.3333333
600,1200,270,348,0,0,0.3304762
600,1200,270,360,0,0,0.327619
600,1200,270,372,0,0,0.3247619
600,1200,270,384,0,0,0.3219047
600,1200,270,396,0,0,0.3190475
600,1200,270,408,0,0,0.3161904
600,1200,270,420,0,0,0.3133333
600,1200,270,432,0,0,0.3104762
600,1200,270,444,0,0,0.3076191
600,1200,270,456,0,0,0.3047619
600,1200,270,468,0,0,0.3019048
600,1200,270,480,0,0,0.2990476
600,1200,270,492,0,0,0.2961905
600,1200,270,504,0,0,0.2933333
600,1200,270,516,0,0,0.29500
600,1200,270,528,0,0,0.2966666
600,1200,270,540,0,0,0.2983333
600,1200,270,552,0,0,0.3
600,1200,270,564,0,0,0.3016666
600,1200,270,576,0,0,0.3033333
600,1200,270,588,0,0,0.30500
600,1200,270,600,0,0,0.3066667
600,1200,270,612,0,0,0.3083334
600,1200,270,624,0,0,0.31
600,1200,270,636,0,0,0.3116667
600,1200,270,648,0,0,0.3133334
600,1200,270,660,0,0,0.31500
600,1200,270,672,0,0,0.3166667
600,1200,170,0,2,0,0
600,1200,170,12,2,0,0.0357143
600,1200,170,24,2,0,0.0714286
600,1200,170,36,2,0,0.1071428
600,1200,170,48,2,0,0.1428571
600,1200,170,60,2,0,0.1785714
600,1200,170,72,2,0,0.2142857
600,1200,170,84,2,0,0.25
600,1200,170,96,2,0,0.2857143
600,1200,170,108,2,0,0.3214286
600,1200,170,120,2,0,0.3571429
600,1200,170,132,2,0,0.3928571
600,1200,170,144,2,0,0.4285714
600,1200,170,156,2,0,0.4642857
600,1200,170,168,2,0,0.5
600,1200,170,180,2,0,0.5171429
600,1200,170,192,2,0,0.5342857
600,1200,170,204,2,0,0.5514285
600,1200,170,216,2,0,0.5685714
600,1200,170,228,2,0,0.5857143
600,1200,170,240,2,0,0.6028571
600,1200,170,252,2,0,0.62
600,1200,170,264,2,0,0.6371429
600,1200,170,276,2,0,0.6542857
600,1200,170,288,2,0,0.6714286
600,1200,170,300,2,0,0.6885715
600,1200,170,312,2,0,0.7057143
600,1200,170,324,2,0,0.7228571
600,1200,170,336,2,0,0.74
600,1200,170,348,2,0,0.7347619
600,1200,170,360,2,0,0.7295238
600,1200,170,372,2,0,0.7242857
600,1200,170,384,2,0,0.7190476
600,1200,170,396,2,0,0.7138095
600,1200,170,408,2,0,0.7085715
600,1200,170,420,2,0,0.7033333
600,1200,170,432,2,0,0.6980952
600,1200,170,444,2,0,0.6928571
600,1200,170,456,2,0,0.6876191
600,1200,170,468,2,0,0.682381
600,1200,170,480,2,0,0.6771429
600,1200,170,492,2,0,0.6719048
600,1200,170,504,2,0,0.6666667
600,1200,170,516,2,0,0.6719048
600,1200,170,528,2,0,0.6771429
600,1200,170,540,2,0,0.682381
